ENLIGHTEN Version,4.1.6
Measurement ID,20241210-124759-813875-WP-02071
Serial Number,WP-02071
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,enlighten-acetonitrile_ctrl_20241210-124759-813875-WP-02071
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,
ROI Pixel Start,10
ROI Pixel End,2047
ROI Vertical Pixel Start,0
ROI Vertical Pixel End,63
CCD C4,1.0143461591505254e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,100.0
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
Prefix,enlighten
Suffix,
Preset,
Session Count,7244
Plugin Name,
Integration Time,1000
Timestamp,2024-12-10 12:47:59.813875
Note,
Temperature,10.044919776654524
CCD C0,799.8416748046875
CCD C1,0.15680807828903198
CCD C2,1.0990047485393006e-05
CCD C3,-9.785007470952678e-09
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.041
Laser Enable,True
Laser Power %,35.88870037949164
Laser Temperature,-95.6635622537485
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed
376,859.86,1108.33,-418.00
377,860.02,1110.50,-494.00
378,860.18,1112.68,-495.00
379,860.34,1114.86,-416.00
380,860.50,1117.04,-430.50
381,860.66,1119.21,-560.00
382,860.82,1121.39,-493.00
383,860.98,1123.56,-362.00
384,861.14,1125.74,-421.00
385,861.31,1127.91,-473.00
386,861.47,1130.08,-536.00
387,861.63,1132.25,-465.50
388,861.79,1134.42,-529.00
389,861.95,1136.59,-572.00
390,862.11,1138.76,-565.00
391,862.27,1140.93,-504.50
392,862.43,1143.09,-473.50
393,862.59,1145.26,-521.00
394,862.76,1147.43,-484.00
395,862.92,1149.59,-461.00
396,863.08,1151.76,-496.00
397,863.24,1153.92,-443.50
398,863.40,1156.08,-489.50
399,863.56,1158.24,-450.00
400,863.72,1160.40,-449.00
401,863.88,1162.56,-545.00
402,864.05,1164.72,-555.00
403,864.21,1166.88,-520.00
404,864.37,1169.04,-465.00
405,864.53,1171.19,-448.50
406,864.69,1173.35,-504.00
407,864.85,1175.51,-485.50
408,865.01,1177.66,-507.50
409,865.17,1179.81,-523.50
410,865.33,1181.97,-475.50
411,865.50,1184.12,-492.50
412,865.66,1186.27,-480.00
413,865.82,1188.42,-437.50
414,865.98,1190.57,-462.00
415,866.14,1192.72,-574.00
416,866.30,1194.87,-486.00
417,866.46,1197.01,-551.00
418,866.62,1199.16,-536.00
419,866.79,1201.30,-468.50
420,866.95,1203.45,-523.00
421,867.11,1205.59,-479.00
422,867.27,1207.74,-519.00
423,867.43,1209.88,-454.00
424,867.59,1212.02,-416.50
425,867.75,1214.16,-490.50
426,867.91,1216.30,-516.50
427,868.07,1218.44,-639.50
428,868.24,1220.58,-408.50
429,868.40,1222.71,-436.00
430,868.56,1224.85,-469.00
431,868.72,1226.99,-663.00
432,868.88,1229.12,-462.50
433,869.04,1231.26,-336.00
434,869.20,1233.39,-425.00
435,869.36,1235.52,-441.50
436,869.52,1237.65,-467.00
437,869.69,1239.78,-420.00
438,869.85,1241.91,-442.50
439,870.01,1244.04,-547.00
440,870.17,1246.17,-507.50
441,870.33,1248.30,-528.50
442,870.49,1250.43,-496.50
443,870.65,1252.55,-433.50
444,870.81,1254.68,-427.50
445,870.98,1256.80,-492.50
446,871.14,1258.93,-478.50
447,871.30,1261.05,-418.00
448,871.46,1263.17,-309.50
449,871.62,1265.29,-504.00
450,871.78,1267.41,-359.50
451,871.94,1269.53,-417.00
452,872.10,1271.65,-357.00
453,872.26,1273.77,-396.00
454,872.43,1275.89,-326.50
455,872.59,1278.00,-409.00
456,872.75,1280.12,-351.50
457,872.91,1282.23,-329.00
458,873.07,1284.35,-322.50
459,873.23,1286.46,-363.00
460,873.39,1288.57,-256.50
461,873.55,1290.69,-329.00
462,873.71,1292.80,-258.00
463,873.88,1294.91,-264.50
464,874.04,1297.02,-227.00
465,874.20,1299.12,-213.50
466,874.36,1301.23,-172.00
467,874.52,1303.34,-212.50
468,874.68,1305.44,-169.00
469,874.84,1307.55,-143.00
470,875.00,1309.65,-14.50
471,875.16,1311.76,-194.50
472,875.32,1313.86,-168.00
473,875.49,1315.96,28.50
474,875.65,1318.06,-62.50
475,875.81,1320.16,-3.00
476,875.97,1322.26,20.50
477,876.13,1324.36,-35.00
478,876.29,1326.46,152.50
479,876.45,1328.55,163.50
480,876.61,1330.65,238.00
481,876.77,1332.75,203.50
482,876.94,1334.84,233.50
483,877.10,1336.93,370.00
484,877.26,1339.03,358.50
485,877.42,1341.12,434.50
486,877.58,1343.21,385.00
487,877.74,1345.30,500.00
488,877.90,1347.39,595.50
489,878.06,1349.48,689.50
490,878.22,1351.57,757.50
491,878.38,1353.65,874.00
492,878.55,1355.74,983.00
493,878.71,1357.83,1225.00
494,878.87,1359.91,1431.00
495,879.03,1361.99,1740.50
496,879.19,1364.08,2282.00
497,879.35,1366.16,2833.00
498,879.51,1368.24,3628.00
499,879.67,1370.32,4809.50
500,879.83,1372.40,5933.00
501,879.99,1374.48,6938.00
502,880.16,1376.56,7016.50
503,880.32,1378.64,6368.00
504,880.48,1380.71,5383.50
505,880.64,1382.79,4533.50
506,880.80,1384.86,3796.00
507,880.96,1386.94,3217.00
508,881.12,1389.01,2811.50
509,881.28,1391.08,2548.50
510,881.44,1393.15,2349.00
511,881.60,1395.23,2242.00
512,881.76,1397.30,2191.50
513,881.93,1399.36,2300.00
514,882.09,1401.43,2186.00
515,882.25,1403.50,2228.00
516,882.41,1405.57,2283.50
517,882.57,1407.63,2338.00
518,882.73,1409.70,2386.50
519,882.89,1411.76,2351.50
520,883.05,1413.83,2380.50
521,883.21,1415.89,2384.00
522,883.37,1417.95,2378.00
523,883.53,1420.01,2368.50
524,883.70,1422.07,2294.50
525,883.86,1424.13,2360.00
526,884.02,1426.19,2332.00
527,884.18,1428.25,2325.50
528,884.34,1430.30,2390.00
529,884.50,1432.36,2298.50
530,884.66,1434.41,2519.50
531,884.82,1436.47,2504.00
532,884.98,1438.52,2616.50
533,885.14,1440.58,2729.00
534,885.30,1442.63,2752.00
535,885.46,1444.68,2865.50
536,885.63,1446.73,2839.00
537,885.79,1448.78,2878.00
538,885.95,1450.83,2803.00
539,886.11,1452.87,2665.50
540,886.27,1454.92,2596.50
541,886.43,1456.97,2502.50
542,886.59,1459.01,2194.50
543,886.75,1461.06,2191.00
544,886.91,1463.10,2002.50
545,887.07,1465.14,1913.00
546,887.23,1467.19,1729.50
547,887.39,1469.23,1641.50
548,887.55,1471.27,1485.00
549,887.71,1473.31,1379.00
550,887.88,1475.35,1359.00
551,888.04,1477.39,1228.50
552,888.20,1479.42,1156.50
553,888.36,1481.46,1172.00
554,888.52,1483.49,990.50
555,888.68,1485.53,1039.00
556,888.84,1487.56,976.50
557,889.00,1489.60,797.00
558,889.16,1491.63,781.00
559,889.32,1493.66,857.50
560,889.48,1495.69,830.50
561,889.64,1497.72,702.00
562,889.80,1499.75,767.00
563,889.96,1501.78,746.00
564,890.12,1503.80,699.50
565,890.29,1505.83,688.00
566,890.45,1507.86,580.00
